BXM_proportion,OTV_proportion,ZNV_proportion,Vaccine_used,Antiviral_used,cumulative_incidence_Total,cumulative_incidence_Resistance,Hospitalization,Death_0_18,Death_19_64,Death_65,incidence_0_18,incidence_19_64,hos_19_64,AR,RAR,Hospitalization_rate_max,Direct_cost_Hospitalization,Direct_cost_GP_Consultation_Test_Antiviral,Direct_cost_Total,Indirect_cost,Total_cost,Total_QALY, qaly_negative , incre_cost , incre_qaly , icer , negative_situation ,inmb,WTP,"422,242"
0.2,0,0.8,3992190,471236,706855,334034,4674,0,13,10,138452,446099,2654,0.0938,0.0443,0.9212,122717500,2064605450,2187322950,1753597675,3940920625,1843.698476," -1,844 "," -3,147,575,891 "," 2,123 ",-1482330.746,dominating," 4,044,163,068.88 ",,
0.2,0.1,0.7,4063567,346037,519055,206277,3323,0,9,7,103205,326824,1881,0.0689,0.0274,0.9145,87192500,1804520349,1891712849,1284813925,3176526774,1374.123638," -1,374 "," -3,911,969,742 "," 2,593 ",-1508682.226,dominating," 5,006,831,137.86 ",,
0.2,0.2,0.6,4055483,260027,390040,140098,2444,0,7,5,78362,245203,1381,0.0518,0.0186,0.9104,64164000,1612078834,1676242834,967023950,2643266784,1082.939789," -1,083 "," -4,445,229,732 "," 2,884 ",-1541258.868,dominating," 5,663,041,178.86 ",,
0.2,0.3,0.5,4034469,204865,307298,115359,1911,0,5,4,62153,192990,1078,0.0408,0.0153,0.908,50112000,1484833364,1534945364,759082200,2294027564,868.1701208, -868 ," -4,794,468,952 "," 3,099 ",-1547139.477,dominating," 6,102,965,173.11 ",,
0.2,0.4,0.4,4053355,174400,261601,118714,1639,0,4,3,53105,164191,924,0.0347,0.0158,0.9067,42869000,1421962240,1464831240,644873625,2109704865,750.3091456, -750 ," -4,978,791,651 "," 3,217 ",-1547753.547,dominating," 6,337,053,725.99 ",,
0.2,0.5,0.3,4128086,167253,250880,147082,1610,0,4,3,50971,157412,907,0.0333,0.0195,0.9065,42129500,1423463891,1465593391,619506925,2085100316,737.1105685, -737 ," -5,003,396,200 "," 3,230 ",-1549046.558,dominating," 6,367,231,268.81 ",,
0.2,0.6,0.2,4234543,186346,279519,205592,1858,0,5,4,56655,175382,1047,0.0371,0.0273,0.9073,48760500,1487947284,1536707784,693399175,2230106959,832.3135934, -832 ," -4,858,389,557 "," 3,135 ",-1549833.622,dominating," 6,182,025,910.36 ",,
0.2,0.7,0.1,4303333,236757,355135,303294,2450,0,7,5,71535,222958,1382,0.0471,0.0403,0.9098,64317000,1606490647,1670807647,884642650,2555450297,1030.819455," -1,031 "," -4,533,046,219 "," 2,936 ",-1543808.207,dominating," 5,772,865,059.79 ",,
0.2,0.8,0,4269187,321651,482476,446509,3438,0,9,7,96176,303336,1943,0.064,0.0593,0.9142,90125000,1766992303,1857117303,1198732375,3055849678,1302.512249," -1,303 "," -4,032,646,838 "," 2,665 ",-1513425.282,dominating," 5,157,745,570.55 ",,
0.3,0,0.7,4225596,183766,275649,136119,1753,0,5,4,55887,172993,988,0.0366,0.0181,0.907,46083000,1501635421,1547718421,683960975,2231679396,836.4814365, -836 ," -4,856,817,120 "," 3,131 ",-1551394.666,dominating," 6,178,693,634.16 ",,
